"","Notes.F.S.","flag","ID","taxonomy.genus","taxonomy.sp","taxonomy.subsp","taxonomy.orig_genus","taxonomy.sp_author","taxonomy.gen_author","taxonomy.orig_sp","taxonomy.subgen","taxonomy.gen_status","taxonomy.sp_status","ref.pic","cephalon","cranidium","pygidum","morphology.eyes","morphology.ontogeny","geography.locality","geography.country","geography.lat","geography.long","geography.state","geography.county","stratigraphy.formation","stratigraphy.min_age","stratigraphy.max_age","stratigraphy.ref_age","stratigraphy.basin","stratigraphy.environment","enterer.metadata","enterer.landmark","enterer.date"
"92",NA,"x","IRSNB13012","Cyphaspis","Cyphaspis kippingi",NA,"Cyphaspis","Van Viersen and Holland 2016","Burmeister 1843","kippingi",NA,NA,NA,"Van Viersen and Holland 2016",TRUE,NA,NA,TRUE,"holaspis","Issoumour","Morocco",31.0908333333,4.87666666667,NA,NA,"Tazoulait Formation","Emsian",NA,"Van Viersen and Holland 2016",NA,"siliciclastic","Munoz DF","Rustan JJ",NA
"93","Emsian","to.inc.emsian","MCZ103493","Aulacopleura","Aulacopleura koninckii",NA,"Arethusa","Barrande 1846","Hawle and Corda 1847","koninckii",NA,NA,NA,"Hughes and Chapman 1995",TRUE,NA,NA,TRUE,"holaspis","Lodenice","Czech Republic",49.987587,14.14034,"Central Bohemia","Beroun","Motol Formation","Wenlock",NA,"Hughes and Chapman 1995","Bohemia","siliciclastic","Munoz DF","Rustan JJ",NA
"94",NA,"x","MGCU451059","Crotalocephalus","Crotalocephalus zinzilbanicus",NA,"Crotalocephalus","Ivanova and Owens 2008","Salter 1853","zinzilbanicus",NA,NA,NA,"Owens et al 2010",TRUE,NA,NA,TRUE,"holaspis","Zinzilban Sai, Zerafshan Range","Uzbekistan",39.1614686249382,67.5066048667298,"Karshi",NA,"Khodzhakurgan Formation","Emsian",NA,"Owens et al 2010",NA,"carbonate","Munoz DF","Rustan JJ",NA
"95",NA,"x","NMNH245613","Deltacephalaspis","Deltacephalaspis comis",NA,"Deltacephalaspis","Eldredge and Branisa 1980","Eldredge and Branisa 1980","comis","Deltacephalaspis",NA,NA,"Eldredge and Branisa 1980",TRUE,NA,NA,TRUE,"holaspis","Curuyo","Bolivia",-21.475560071009,-64.6466701113714,"Tarija","Cercado","Gamoneda Formation","Pragian",NA,"Grahn 2005","Tarija","siliciclastic","Munoz DF","Rustan JJ",NA
"96",NA,"x","NMNH245618","Schizostylus","Schizostylus brevicaudatus",NA,"Dalmanites","Kozlowski 1923","Delo 1935","brevicaudatus","Schizostylus",NA,"cf","Eldredge and Branisa 1980",TRUE,NA,NA,TRUE,"holaspis","Padilla","Bolivia",-19.3104336443831,-64.3117058276736,"Chuquisaca","Tomina","Icla Formation","Pragian",NA,"Grahn 2005","Subandinas","siliciclastic","Munoz DF","Rustan JJ",NA
"97",NA,"x","USNM8975","Harpidella","Harpidella spinafrons",NA,"Otarion","Williams 1935","MCoy 1849","spinafrons",NA,NA,NA,"Adrain and Chatterton 1995",TRUE,NA,NA,TRUE,"holaspis","West Brook","United States",42.637954,-75.489603,"New York","Chenango","Tully Formation","Givetian",NA,"Adrain and Chatterton 1995",NA,"carbonate","Munoz DF","Rustan JJ",NA
"98","Lochkovian - Eifelian","to.inc.lochkovian","Ar51664","Leonaspis","Leonaspis coronata","bufo","Leonaspis","Salter 1853","Richter and Richter 1917","marklini",NA,NA,NA,"Ramsköld 1984",TRUE,NA,NA,TRUE,"holaspis","Eksta parish type locality","Sweden",18.2064,57.2865,"Gotland",NA,"Mulde Formation","Wenlock",NA,"Ramsköld 1984",NA,NA,"Serra F","Serra F",NA
"100",NA,"x","BGS_GSM23700","Waribole","Waribole dunhevidensis",NA,"Proetus","Thomas 1909","Richter and Richter 1926",NA,NA,NA,NA,"Owens 1994",TRUE,NA,TRUE,TRUE,"holaspis","Landlake","UK",50.6137889364319,-4.36785697581787,"Cornwall",NA,"Petherwin Formation","Famennian",NA,"Owens 1994",NA,NA,"Balseiro D","Serra F",NA
"101",NA,"x","Cronier_2015_Fig3a_p558","Prokops","Prokops prokopi",NA,"Phacops","Chlupác 1971","Chlupác 1971","prokopi",NA,NA,NA,"Cronier et al 2015",TRUE,NA,NA,TRUE,"holaspis","Malá Chuchle","Czech Republic",50.025111,14.379655,"Prague",NA,"Dvorce-Prokop Limestone","Emsian",NA,"Cronier et al 2015","Prague","carbonate","Munoz DF","Serra F",NA
"102",NA,"x","DCP-Rest_Stk_967-100-1-7a","Dalejeproetus","Dalejeproetus scipio",NA,NA,"Basse 1997","Snajdr 1977",NA,NA,"?",NA,"Basse 2003",TRUE,NA,TRUE,TRUE,"holaspis","Erndtebrück","Germany",50.9844159822436,8.2523786525949,"Nordrhein-Westfalen","Siegen-Wittgenstein","Loogh Formation","Givetian",NA,"Basse 2003",NA,"carbonate","Balseiro D","Serra F",NA
"103",NA,"x","GPIN_96883","Mirabole","Mirabole crassa","xiakouensis",NA,"Yuan and Xiang 1998","Osmolska 1962",NA,"Mirabole",NA,NA,"Yuan and Xiang 1998",TRUE,NA,TRUE,TRUE,"holaspis","Xiakou section D, Yishan","China",24.325,109.09,"South China","Guangxi","Yonghsien","Famennian",NA,"Yuan and Xiang 1998",NA,"carbonate","Balseiro D","Serra F",NA
"104","Lochkovian - Emsian","to.inc.lochkovian","GSC122371","Calymene","Calymene barnesi",NA,NA,"Chatterton and Ludvigsen 2004","Brongniart 1822",NA,NA,NA,NA,"Chatterton and Ludvigsen 2004",TRUE,NA,TRUE,TRUE,"holaspis","Ste Marie River Road Anticosti Island (AN22)","Canada",49.7401388888888,-63.8994999999999,"Quebec","Minganie Regional County Municipality","Becscie Formation","Rhuddanian",NA,"Chatterton and Ludvigsen 2004",NA,NA,"Serra F","Serra F",NA
"105",NA,"x","ICh_3343a","Eocryphops","Eocryphops termieri",NA,"Phacops","Richter and Richter 1943","Richter and Richter 1931","termieri",NA,NA,"cf","Chlupac 1977",TRUE,NA,NA,TRUE,"holaspis","Chotec","Czech Republic",49.988796,14.291793,"Prague",NA,"Chotec Formation","Eifelian",NA,"Clupac 1977","Prague","carbonate","Munoz DF","Serra F",NA
"106","Lochkovian - Pragian","to.inc.lochkovian","ICh_3443","Denckmannites","Denckmannites volborthi",NA,"Phacops","Barrande 1852","Wedekind 1914","volborthi",NA,NA,NA,"Chlupac 1977",TRUE,NA,NA,TRUE,"holaspis","Lochkov","Czech Republic",49.99412,14.32336,"Prague",NA,"Kopanina Formation","Ludlow",NA,"Clupac 1977","Prague","siliciclastic","Munoz DF","Serra F",NA
"107",NA,"x","IRSNB_a13437","Radiaspis","Radiaspis taghonorum",NA,NA,"Van Viersen and Magrean 2019","Richter and Richter 1917",NA,NA,NA,NA,"Van Viersen and Magrean 2019",TRUE,NA,NA,TRUE,"holaspis","Resteigne","Belgium",50.083974638815,5.17606200059671,NA,NA,"Hanonet Formation","Givetian",NA,"Van Viersen and Magrean",NA,"carbonate","Serra F","Serra F",NA
"108",NA,"x","IRSNBa12430","Nyterops","Nyterops hollandi",NA,"Nyterops","Van Viersen 2007","Struve 1972","hollandi",NA,NA,NA,"Van Viersen 2007",TRUE,NA,NA,TRUE,"holaspis","Resteigne Belgium","Belgium",50.090967,5.179737,"Namur",NA,"Hanonet Formation","Eifelian",NA,"Van Viersen 2007",NA,"carbonate","Munoz DF","Serra F",NA
"109",NA,"x","KSGR_VI-672_334","Plagiolaria","Plagiolaria kitabi",NA,"Plagiolaria","Cronier and Tsmeyrek 2010","Kegel 1952","kitabi",NA,NA,NA,"Cronier and Tsmeyrek 2010",TRUE,NA,NA,TRUE,"holaspis","Kitab State Geological Reserve","Uzbekistan",39.151995,67.242418,"Dzhauz",NA,"Akbasai Formation","Famennian",NA,"Cronier and Tsmeyrek 2010",NA,"siliciclastic","Munoz DF","Serra F",NA
"110","(lm 11 not present)","lm.miss","MGCU_48_814","Lioharpes","Lioharpes venulosus",NA,NA,"Hawle and Corda 1847","Whittington 1950",NA,NA,NA,"aff","Owens et al 2010",TRUE,NA,NA,TRUE,"holaspis","Turkestan Range","Uzbekistan",39.8126536997888,69.7347539308592,NA,NA,"Dzhalpak Formation","Lochkovian",NA,"Owens et al 2010",NA,NA,"Serra F","Serra F",NA
"111","Lochkovian","to.inc.lochkovian","MS47","Spiniscutellum","Spiniscutellum umbelliferum",NA,"Bronteus","Beyrich 1845","Snajdr 1960",NA,NA,NA,NA,"Snajdr 1960",TRUE,NA,NA,TRUE,"early holaspis","Kosor valley, Cerna rokle","Czech Republic",49.987584,14.328013,"Central Bohemia","West Prague","Lochkov-beds","Ludlow",NA,"Snajdr 1960",NA,NA,"Balseiro D","Serra F",NA
"118","Lochkovian - Emsian","to.inc.lochkovian","NM_9324","Ananaspis","Ananaspis fecunda","fecunda","Phacops","Barrande 1846","Campbell 1967","foecundus",NA,NA,NA,"Chlupac 1977",TRUE,NA,NA,TRUE,"holaspis","Dlouhá hora","Czech Republic",50.791062,14.924743,"Liberec",NA,"Kopanina Formation","Ludlow",NA,"Clupac 1977","Prague","siliciclastic","Munoz DF","Serra F",NA
"119","Lochkovian ","to.inc.lochkovian","NM_L6127","Bohemoharpes","Bohemoharpes naumanni",NA,"Harpes","Barrande 1852","Vanek 1963","naumanni",NA,NA,NA,"Ebach and MacNamara 2002",TRUE,NA,NA,TRUE,"holaspis",NA,"Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serra F","Serra F",NA
"120",NA,"x","NML_7943","Lochkovella","Lochkovella misera",NA,"Phacops","Barrande 1852","Chlupác 1972","miser",NA,NA,NA,"Chlupac 1977",TRUE,NA,NA,TRUE,"holaspis","Kosor","Czech Republic",49.993925,14.324525,"Prague",NA,"Lochkov Formation","Lochkovian",NA,"Chlupac 1977","Prague","carbonate","Munoz DF","Serra F",NA
"122","Lochkovian - Pragian","to.inc.lochkovian","NMV_P123401","Dicranurus","Dicranurus sp nov",NA,NA,"Ramsköld 1991","Conrad 1841",NA,NA,NA,NA,"Ramsköld 1991",TRUE,NA,NA,TRUE,"holaspis","Boree Creek","Australia",-35.0936217131231,146.610730750339,"New South Wales",NA,"Boree Creek Formation","Sheinwoodian",NA,"Ramsköld 1991",NA,NA,"Serra F","Serra F",NA
"123",NA,"x","NMV_P144043","Sculptoproetus","Sculptoproetus sp",NA,NA,NA,"Erben 1951",NA,NA,NA,NA,"Owens 1994",TRUE,NA,TRUE,TRUE,"holaspis","Lilydale","Australia",-37.7479816497911,145.368974053153,"Victoria",NA,"Humevale Formation","Lochkovian",NA,"Owens 1994",NA,"siliciclastic","Balseiro D","Serra F",NA
"124",NA,"x","NYSM4733","Monodechenella","Monodechenella macrocephala",NA,NA,"Hall 1861","Stumm 1953","Proetus",NA,NA,NA,"Owens 1994",TRUE,NA,NA,TRUE,"holaspis","Canandaigua Lake","United States",42.7994456950718,-77.3046529357866,"New York",NA,"Hamilton Group","Givetian",NA,"Owens 1994",NA,"siliciclastic","Balseiro D","Serra F",NA
"125",NA,"x","SBNM_CF682","Thysanopeltis","Thysanopeltis speciosa",NA,"Thysanopeltis","Hawle and Corda 1847","Hawle and Corda 1847","speciosa",NA,NA,NA,"Snajdr 1960",TRUE,NA,NA,TRUE,"holaspis","Koneprusy","Czech",49.266,14.065,"Central Bohemia","Beroun","Suchomasty Limestones","Emsian",NA,"Mergl and Jimenez Sanchez 2015","Barrandian area","carbonate","Balseiro D","Serra F",NA
"126",NA,"x","SBNM-CF_581","Pragoproetus","Pragoproetus menamiensis",NA,"Unguliproetus","Pribyl 1949","Snajdr 1977",NA,NA,NA,NA,"Johnson and Fortey 2012",TRUE,NA,NA,TRUE,"holaspis","Menany","Czech Republic",49.91,14.12,NA,NA,"Veanrice Limeston","Pragian",NA,"Johnson and Fortey 2012",NA,"carbonate","Balseiro D","Serra F",NA
"127","Blind (LM 8, 9, 14 not present)","lm.miss","SMF_57451","Helioproetus","Helioproetus carintiacus",NA,"Proetus(?)","Drevermann 1901","Richter and Richter 1919",NA,NA,NA,NA,"Feist et al 2000",TRUE,NA,NA,TRUE,"holaspis","Apricke","Germany",51.395537645901,7.8130436120855,"Sauerland",NA,"Wocklum Limestone","Famennian",NA,"Feist et al 2000",NA,"carbonate","Balseiro D","Serra F",NA
"128","Blind (LM 8, 9, 14 not present)","lm.miss","SMF_57476","Silesiops","Silesiops schindewolfi",NA,NA,"Richter and Richter 1919","Chlupac 1966",NA,NA,NA,NA,"Feist et al 2000",TRUE,NA,NA,TRUE,"holaspis","Apricke","Germany",51.39553765,7.8130436120855,"Sauerland",NA,"Wocklum Limestone","Famennian",NA,"Feist et al 2000",NA,"carbonate","Balseiro D","Serra F",NA
"129","Blind (LM 8, 9, 14 not present)","lm.miss","SMF_57503","Caunoproetus","Caunoproetus palensis",NA,NA,"Richter 1913","Richter and Richter 1919",NA,"Chaunoproetus",NA,NA,"Feist et al 2000",TRUE,NA,NA,NA,"holaspis","Apricke","Germany",51.39553765,7.8130436120855,"Sauerland",NA,"Wocklum Limestone","Famennian",NA,"Feist et al 2000",NA,"carbonate","Balseiro D","Serra F",NA
"130",NA,"x","SMF_57513","Cryphops","Cryphops cryptophthalmus",NA,"Phacops (Cryphops)","Emmrich 1844","Richter and Richter 1926","cryptophthalmus",NA,NA,NA,"Cronier 1999",TRUE,NA,NA,NA,"holaspis","Sessacker","Germany",50.724781,8.343219,"Dillenburg",NA,"Bunte Tonschiefer Formation","Famennian",NA,"Cronier 1999",NA,"carbonate","Munoz DF","Serra F",NA
"131","Pragian - Emsian","to.inc.emsian","UA_4117","Primaspis","Primaspis mackenziensis",NA,NA,"Chatterton and Perry 1983","Richter and Richter 1917",NA,NA,NA,NA,"Chatterton and Perry 1983",TRUE,NA,TRUE,TRUE,"holaspis","Avalanche Lake One","Canada",64.0004317271039,-128.00012871427,"Mackenzie Mountains",NA,"Delorme Formation","Wenlock",NA,"Chatterton and Perry 1983",NA,NA,"Serra F","Serra F",NA
"132","Emsian","to.inc.emsian","UA_4771_(AV3_62)","Ceratocephala","Ceratocephala avalanchensis",NA,NA,"Chatterton and Perry 1983","Warder 1838",NA,NA,NA,NA,"Chatterton and Perry 1983",TRUE,NA,TRUE,TRUE,"holaspis","Avalanche Lake three","Canada",64.0004317271039,-128.00012871427,"Mackenzie Mountains",NA,"Delorme Formation","Wenlock",NA,"Chatterton and Perry 1983",NA,NA,"Serra F","Serra F",NA
"133",NA,"x","UA_6843","Reedops","Reedops bronni",NA,"Phacops","Barrande 1846","Richter and Richter 1925","bronni",NA,NA,NA,"McKellar and Chatterton 2009",TRUE,NA,NA,TRUE,"holaspis","Issoumour","Morocco",31.09083333,4.876666667,NA,NA,"Ihandar","Pragian",NA,"McKellar and Chatterton 2009","Ma'der","carbonate","Munoz DF","Serra F",NA
"134",NA,"x","UA_6935","Pedinopariops","Pedinopariops vagabundus",NA,"Pedinopariops","Struve 1990","Struve 1972","vagabundus","Hypsipariops",NA,NA,"McKellar and Chatterton 2009",TRUE,NA,NA,TRUE,"holaspis","Aferdou de Mrakib","Morocco",30.751775,-4.698545,"Ouarzazate",NA,"Bou Dib Formation","Givetian",NA,"McKellar and Chatterton 2009","Ma'der","carbonate","Munoz DF","Serra F",NA
"135",NA,"x","UA13256","Timsaloproetus","Timsaloproetus haasi",NA,"Cornuproetus","Alberti 1971","Gibb and Chatterton 2007",NA,NA,NA,NA,"Gibb and Chatterton 2009",TRUE,NA,NA,TRUE,"holaspis","Tazoulait-bou Dib","Morocco",31.0927137816298,-4.86982492954927,"Draa-Tafilalet",NA,"El Otfal Formation","Eifelian",NA,"Gibb and Chatterton 2007",NA,"carbonate","Balseiro D","Serra F",NA
"136",NA,"x","UA13381","Parahomalonotus","Parahomalonotus calvus",NA,NA,"Chatterton et al 2006","Reed 1918",NA,NA,NA,NA,"Chatterton et al 2006",TRUE,NA,NA,TRUE,"holaspis","Jbel Gara el Zguilma","Morocco",29.7144458506943,-6.691529014,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Chatterton et al 2006",NA,"carbonate","Balseiro D","Serra F",NA
"137",NA,"x","UA13384","Diademaproetus","Diademaproetus praecursor",NA,"Cornuproetus","Alberti 1969","Alberti 1964","holzapfeli",NA,NA,NA,"Chatterton et al 2006",TRUE,NA,NA,TRUE,"holaspis","Jbel Gara el Zguilma","Morocco",29.7144458506943,-6.691529014,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Chatterton et al 2006",NA,"carbonate","Balseiro D","Serra F",NA
"138",NA,"x","UA13394","Tropidocoryphe","Tropidocoryphe amuri",NA,NA,"Chatterton et at 2006","Novak 1890",NA,NA,NA,NA,"Chatterton et at 2006",TRUE,NA,NA,TRUE,"holaspis","Jbel Gara el Zguilma","Morocco",29.7144458506943,-6.691529014,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Chatterton et al 2006",NA,"carbonate","Balseiro D","Serra F",NA
"139",NA,"x","UA13411","Scabriscutellum","Scabriscutellum hammadi",NA,NA,"Chatterton et al 2006","Richter and Richter 1956",NA,NA,NA,NA,"Chatterton et al 2006",TRUE,NA,NA,TRUE,"holaspis","Jbel Gara el Zguilma","Morocco",29.7144458506943,-6.69152901417345,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Chatterton et al 2006",NA,"carbonate","Balseiro D","Serra F",NA
"140",NA,"x","UA13428","Koneprusia","Koneprusia dahmani",NA,NA,"Chatterton et al 2006","Prantl and Pribyl 1949",NA,NA,NA,NA,"Chatterton et al 2006",TRUE,NA,TRUE,TRUE,"holaspis","Zguilma","Morocco",30.0803456213121,-6.8810464811137,NA,NA,"Timrhanrhart Formation","Emsian",NA,"Chatterton et al 2006",NA,NA,"Serra F","Serra F",NA
"142",NA,"x","USNM_PAL_117876","Crassiproetus","Crassiproetus traversensis",NA,"Proetus (Crassiproetus)","Stumm 1953","Stumm 1953",NA,NA,NA,NA,"Stumm 1953",TRUE,NA,NA,TRUE,"holaspis","Charlevoix","United States",45.318574,-85.26121,"Michigan","Charlevoix","Gravel Point Formation","Givetian",NA,"Mohan 2013","Michigan Basin","carbonate","Balseiro D","Serra F",NA
"143","Lochkovian - Eifelian","to.inc.lochkovian","USTM_RF_95","Harpes","Harpes neogracillis",NA,NA,"Richter and Richter 1924","Goldfuss 1839",NA,NA,NA,NA,"Feist and Schindler 1994",TRUE,NA,NA,TRUE,"holaspis","Causses et Veyran","France",43.4755880452318,30.8604680372907,NA,NA,"Upper KW Horizon","Wenlock",NA,"Ziegler and Sandberg 1990",NA,NA,"Serra F","Serra F",NA
"144",NA,"x","WAM_07.273","Babinops","Babinops minor",NA,"Babinops","Feist et al 2009","Feist and Becker 1997","minor",NA,NA,NA,"Feist et al 2009",TRUE,NA,NA,TRUE,"holaspis","South Lawford Range","Australia",-18.733089,126.08416,"Western Australia","Derby-West Kimberley","Virgin Hills Formation","Famennian",NA,"Feist et al 2009","Canning Basin","carbonate","Munoz DF","Serra F",NA
"145",NA,"x","WAM_07.286","Acuticryphops","Acuticryphops acuticeps",NA,"Phacops","Kayser 1889","Crônier and Feist 2000","acuticeps",NA,NA,NA,"Feist et al 2009",TRUE,NA,NA,TRUE,"holaspis","South Lawford Range","Australia",-18.733089,126.08416,"Western Australia","Derby-West Kimberley","Virgin Hills Formation","Frasnian",NA,"Feist et al 2009","Canning Basin","carbonate","Munoz DF","Serra F",NA
"146","Blind (LM 8, 9, 14 not present)","lm.miss","WAM_91.316","Pteroparia","Pteroparia extrema",NA,NA,"Feist and McNamara 2013","Richter 1913",NA,NA,NA,NA,"Feist and McNamara 2013",TRUE,NA,NA,NA,"holaspis","McWhae Ridge","Australia",-18.3538409824795,125.797107392737,"West Australia","Kimberley region","Vigin Hills Formation","Frasnian",NA,"Feist et al 2009","Canning basin","carbonate","Balseiro D","Serra F",NA
"149",NA,"x","AMNH_29104","Bouleia","Bouleia dagincourti",NA,"Phacops","Ulrich 1892","Kozlowski 1923","dagincourti",NA,NA,NA,"Eldregde 1972",TRUE,NA,NA,TRUE,"holaspis","Padilla","Bolivia",-19.3102953231245,-64.3071608512096,NA,NA,NA,"Pragian","Emsian","Eldregde 1972",NA,NA,NA,NA,NA
"150",NA,"x","AMNH_29248","Trypaulites","Trypaulites calypso",NA,"Dalmania","Hall 1861","Delo 1935","calypso",NA,NA,NA,"Lesperance 1975",TRUE,NA,NA,TRUE,"holaspis","Devonian Chert","United States",38.3113230411076,-85.7302487287415,"Indiana","Jefferson",NA,"Lower Devonian","Middle Devonian","Lesperance 1975",NA,NA,NA,NA,NA
"151",NA,"x","AMNH_44818","Kasachstania","Kasachstania gerardoi",NA,"Dalmanites","Edgecombe and Ramsköld 1994","Maksimova 1972","cf. sudamericanus",NA,NA,NA,"Edgecombe and Ramsköld 1994",TRUE,NA,NA,TRUE,"holaspis","Cochabamba Department","Bolivia",-17.3874097635089,-66.1734992418065,NA,NA,"Catavi Formation","Lochkovian",NA,"Edgecombe and Ramsköld 1994",NA,NA,NA,NA,NA
"152",NA,"x","BMS_E5433","Basidechenella","Basidechenella rowi",NA,"Calymene","Green 1838","Richter 1912","rowi",NA,NA,NA,"Lieberman 1994",TRUE,NA,NA,TRUE,"holaspis","East Bethany","United States",42.9325689214387,-78.1013154676705,"New York",NA,"Ludlowville Formation","Emsian","Givetian",NA,"Appalachian Basin",NA,NA,NA,NA
"153",NA,"x","CEGH-UNC_24318","Dalmanitoides","Dalmanitoides drevermanni",NA,"Dalmanites","Thomas 1906","Delo 1935","drevermanni",NA,NA,NA,"Rustan and Vaccari 2012",TRUE,NA,NA,TRUE,"holaspis","Cerro La Chilca","Argentina",-30.5834063976967,-68.8494421429035,"Prov San Juan",NA,"Talacasto Formation","Emsian",NA,"Rustán and Vaccari 2012",NA,NA,NA,NA,NA
"154",NA,"x","GSC_25927","Synphoria","Synphoria dolbeli",NA,"Dalmanites","Clarke 1907","Clarke 1900","dolbeli",NA,NA,NA,"Lesperance and Bourque 1971",TRUE,NA,NA,TRUE,"holaspis","Hymans Store","Canada",46.7422644600242,-71.1918830695246,"Quebec",NA,NA,"Lower Devonian","Middle Devonian","Lesperance and Bourque 1971",NA,NA,NA,NA,NA
"156",NA,"x","GSC_43605","Fuscinipyge","Fuscinipyge yolkini",NA,"Fuscinipyge","Ormiston 1972","Ormiston 1972","yolkini",NA,NA,NA,"Ormiston 1976",TRUE,NA,NA,TRUE,"holaspis","Mackenzie Mountains","Canada",65.338,-129.966,NA,NA,"Hume Formation","Eifelian",NA,NA,"Mackenzie Basin",NA,NA,NA,NA
"158",NA,"x","IRSNB_7782A","Scutellum","Scutellum decipulum",NA,NA,"Van Viersen and Prescher 2011","Pusch 1833",NA,NA,NA,NA,"Van Viersen and Prescher 2011",TRUE,NA,NA,TRUE,"holaspis","Arche Quarry","Belgium",50.666,3.616,"Wallone","Hradec KrAlovE","Moulin Lianaux Formation","Frasnian",NA,"Van Viersen and Prescher 2011","Belgium",NA,NA,NA,NA
"159",NA,"x","IRSNB_a12575","Gerastos","Gerastos prox lessensis",NA,"Gerastos","Van Viersen and Prescher 2008","Richter and Richter 1956","prox",NA,NA,NA,"Van Viersen and Prescher 2008",TRUE,NA,NA,TRUE,"holaspis","Resteigne quarry","Belgium",50.0781300548931,5.15291233012305,NA,NA,"Hanonet Formation","Eifelian",NA,NA,NA,NA,NA,NA,NA
"160",NA,"x","IRSNB_a12604","Dechenella","Dechenella daumeriesi",NA,"Dechenella","Van Viersen and Prescher 2008","Kayser 1880","sp.",NA,NA,NA,"Van Viersen and Prescher 2008",TRUE,NA,NA,TRUE,"holaspis","Resteigne quarry","Belgium",50.0781300548931,5.15291233012305,NA,NA,"Hanonet Formation","Eifelian",NA,NA,NA,NA,NA,NA,NA
"161",NA,"x","MCZ_172821","Odontochile","Odontochile hausmanni",NA,"Asaphus","Brongniart 1822","Hawle and Corda 1847","hausmanni",NA,NA,NA,"Budil et. al 2007",TRUE,NA,NA,TRUE,"holaspis",NA,"Czech Republic",NA,NA,NA,NA,"Praha Formation","Pragian",NA,"Budil et al 2007",NA,NA,NA,NA,NA
"162",NA,"x","MCZ7623-1","Burmeisteria","Burmeisteria accraensis",NA,"Trimerus (Dipleura)","Saul 1967","Salter 1865","dekayi","Digonus",NA,NA,"Saul 1967",TRUE,NA,NA,TRUE,"holaspis","Accra","Ghana",5.58436610835575,-0.178013602904375,"Big Accra","Metropolitan Accra","Accraian Series","Lower Devonian","Middle Devonian","Saul 1967",NA,"siliciclastic",NA,NA,NA
"163",NA,"x","MMB107","Belenopyge","Belenopyge estevei",NA,"Acanthopyge (Lobopyge)","Corbacho and Kier 2013","Hawle and Corda 1847","sp.",NA,NA,NA,"Corbacho and Kier 2013",TRUE,NA,NA,TRUE,"holaspis","Jebel Oufatene","Morocco",31.15,-4.916,NA,NA,"Ihandar Formation","Pragian",NA,NA,"Mader basin","carbonate",NA,NA,NA
"166",NA,"x","MS_7390","Orbitoproetus","Orbitoproetus fornicatus",NA,"Proetus","Pribyl 1971","Pillet 1969","fornicatus",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Koneprusy","Czech Republic",49.266,14.065,"Central Bohemia","Beroun","Acanthopyge Limestone","Eifelian",NA,"Snajdr 1980","Barrandian area","carbonate",NA,NA,NA
"167",NA,"x","NHM_IT_28323","Paralejurus","Paralejurus brongniarti",NA,NA,"Barrande 1846","Hawle and Corda 1847",NA,NA,NA,NA,"Feist and Lerosey-Aubril 2010",TRUE,NA,TRUE,TRUE,"holaspis","El Achane","Morocco",32.2528056904625,-6.94366480654293,"Beni Melal Jenifra",NA,NA,"Pragian",NA,"Feist Lerosey-Aubril 2010","Morocco",NA,NA,NA,NA
"168",NA,"x","NHM_It_28960","Podoliproetus","Podoliproetus sinespina",NA,"Podoliproetus","Johnson and Fortey 2012","Snajdr 1980","sinespina",NA,NA,NA,"Johnson and Fortey 2012",TRUE,NA,NA,TRUE,"holaspis","Erfoud","Morocco",31.4516445225365,-4.25870542867204,"Draa Tafilalet",NA,"Ihandar Formation","Pragian",NA,"Bultynck and Walliser 2000",NA,"carbonate",NA,NA,NA
"169",NA,"x","NHMM_2011_003","Ceratarges","Ceratarges aries",NA,"Ceratarges","Van Viersen and Prescher 2011","Garich 1901","sp. n.",NA,NA,NA,"Van Viersen and Prescher 2011",TRUE,NA,NA,TRUE,"holaspis","Zireg","Morocco",30.611,-4.539,NA,NA,"El Otfal Formation","Eifelian",NA,NA,"Maider Basin","carbonate",NA,NA,NA
"170",NA,"x","NMW2005-32G-132","Trimerus","Trimerus kinglakensis",NA,"Trimerus","Gill 1949","Green 1832","kinglakensis","Edgillia",NA,"aff","Pour et al 2019",TRUE,NA,NA,TRUE,"holaspis","Lake Balkhash","Kazakhstan",46.5445450720301,73.7929168970474,NA,NA,"Shakshagaily","Lower Devonian",NA,"Pour et al 2019",NA,"siliciclastic",NA,NA,NA
"171",NA,"x","NYSM_13376-1","Synphoroides","Synphoroides dolphi",NA,"Dalmanites","Clarke 1893","Delo 1940","dolphi",NA,NA,NA,"Delo 1940",TRUE,NA,NA,TRUE,"holaspis","Port Jervis","United States",41.3764342804558,-74.7011755729689,"New York",NA,"Helderberg Formation","Devonian",NA,"Delo 1940",NA,NA,NA,NA,NA
"173",NA,"x","NYSM_31330","Odontocephalus","Odontocephalus selenourus",NA,"Asaphus","Eaton 1832","Conrad 1840","selenourus",NA,NA,NA,"Stumm 1954",TRUE,NA,NA,TRUE,"holaspis","Lower Onondaga limestone","United States",43.021621493644,-76.2574365946621,"New York",NA,"Bois Blanc Formation","Middle Devonian",NA,"Stumm 1954",NA,NA,NA,NA,NA
